LLM可训练总参数量：25.830 百万
Epoch:[1/1](6900/44160) loss:2.459 lr:0.000520480316 epoch_Time:165.0min:
Epoch:[1/1](7000/44160) loss:2.696 lr:0.000519636351 epoch_Time:164.0min:
Epoch:[1/1](7100/44160) loss:2.669 lr:0.000518781271 epoch_Time:164.0min:
Epoch:[1/1](7200/44160) loss:2.387 lr:0.000517915118 epoch_Time:164.0min:
Epoch:[1/1](7300/44160) loss:3.564 lr:0.000517037936 epoch_Time:163.0min:
Epoch:[1/1](7400/44160) loss:2.903 lr:0.000516149769 epoch_Time:163.0min:
Epoch:[1/1](7500/44160) loss:2.467 lr:0.000515250663 epoch_Time:162.0min:
Epoch:[1/1](7600/44160) loss:2.702 lr:0.000514340664 epoch_Time:162.0min:
Epoch:[1/1](7700/44160) loss:3.012 lr:0.000513419816 epoch_Time:161.0min:
Epoch:[1/1](7800/44160) loss:3.100 lr:0.000512488167 epoch_Time:161.0min:
Epoch:[1/1](7900/44160) loss:2.470 lr:0.000511545764 epoch_Time:161.0min:
Epoch:[1/1](8000/44160) loss:2.962 lr:0.000510592655 epoch_Time:160.0min:
Epoch:[1/1](8100/44160) loss:2.646 lr:0.000509628887 epoch_Time:160.0min:
Epoch:[1/1](8200/44160) loss:2.529 lr:0.000508654510 epoch_Time:159.0min:
Epoch:[1/1](8300/44160) loss:2.788 lr:0.000507669573 epoch_Time:159.0min:
Epoch:[1/1](8400/44160) loss:2.477 lr:0.000506674126 epoch_Time:158.0min:
Epoch:[1/1](8500/44160) loss:3.120 lr:0.000505668219 epoch_Time:158.0min:
Epoch:[1/1](8600/44160) loss:2.911 lr:0.000504651903 epoch_Time:157.0min:
Epoch:[1/1](8700/44160) loss:2.543 lr:0.000503625229 epoch_Time:157.0min:
Epoch:[1/1](8800/44160) loss:2.574 lr:0.000502588250 epoch_Time:156.0min:
Epoch:[1/1](8900/44160) loss:2.793 lr:0.000501541018 epoch_Time:157.0min:
Epoch:[1/1](9000/44160) loss:2.282 lr:0.000500483585 epoch_Time:156.0min:
Epoch:[1/1](9100/44160) loss:2.967 lr:0.000499416006 epoch_Time:155.0min:
Epoch:[1/1](9200/44160) loss:2.298 lr:0.000498338335 epoch_Time:155.0min:
Epoch:[1/1](9300/44160) loss:2.837 lr:0.000497250626 epoch_Time:154.0min:
Epoch:[1/1](9400/44160) loss:2.585 lr:0.000496152933 epoch_Time:154.0min:
Epoch:[1/1](9500/44160) loss:3.275 lr:0.000495045314 epoch_Time:153.0min:
Epoch:[1/1](9600/44160) loss:2.921 lr:0.000493927823 epoch_Time:154.0min:
Epoch:[1/1](9700/44160) loss:3.092 lr:0.000492800517 epoch_Time:153.0min:
Epoch:[1/1](9800/44160) loss:2.481 lr:0.000491663453 epoch_Time:153.0min:
Epoch:[1/1](9900/44160) loss:1.608 lr:0.000490516690 epoch_Time:153.0min:
Epoch:[1/1](10000/44160) loss:2.573 lr:0.000489360284 epoch_Time:152.0min:
Epoch:[1/1](10100/44160) loss:2.590 lr:0.000488194295 epoch_Time:152.0min:
Epoch:[1/1](10200/44160) loss:2.512 lr:0.000487018781 epoch_Time:151.0min:
Epoch:[1/1](10300/44160) loss:2.621 lr:0.000485833802 epoch_Time:151.0min:
Epoch:[1/1](10400/44160) loss:2.486 lr:0.000484639417 epoch_Time:150.0min:
Epoch:[1/1](10500/44160) loss:2.365 lr:0.000483435689 epoch_Time:150.0min:
Epoch:[1/1](10600/44160) loss:2.426 lr:0.000482222676 epoch_Time:149.0min:
Epoch:[1/1](10700/44160) loss:2.325 lr:0.000481000441 epoch_Time:149.0min:
Epoch:[1/1](10800/44160) loss:2.484 lr:0.000479769045 epoch_Time:148.0min:
Epoch:[1/1](10900/44160) loss:2.409 lr:0.000478528552 epoch_Time:148.0min:
Epoch:[1/1](11000/44160) loss:2.541 lr:0.000477279023 epoch_Time:148.0min:
Epoch:[1/1](11100/44160) loss:3.027 lr:0.000476020521 epoch_Time:147.0min:
Epoch:[1/1](11200/44160) loss:2.357 lr:0.000474753112 epoch_Time:147.0min:
Epoch:[1/1](11300/44160) loss:2.523 lr:0.000473476858 epoch_Time:146.0min:
Epoch:[1/1](11400/44160) loss:2.723 lr:0.000472191824 epoch_Time:146.0min:
Epoch:[1/1](11500/44160) loss:2.335 lr:0.000470898076 epoch_Time:145.0min:
Epoch:[1/1](11600/44160) loss:2.842 lr:0.000469595678 epoch_Time:145.0min:
Epoch:[1/1](11700/44160) loss:3.106 lr:0.000468284697 epoch_Time:144.0min:
Epoch:[1/1](11800/44160) loss:2.792 lr:0.000466965199 epoch_Time:144.0min:
Epoch:[1/1](11900/44160) loss:3.855 lr:0.000465637251 epoch_Time:144.0min:
Epoch:[1/1](12000/44160) loss:2.779 lr:0.000464300920 epoch_Time:144.0min:
Epoch:[1/1](12100/44160) loss:3.915 lr:0.000462956273 epoch_Time:144.0min:
Epoch:[1/1](12200/44160) loss:2.638 lr:0.000461603380 epoch_Time:143.0min:
Epoch:[1/1](12300/44160) loss:2.231 lr:0.000460242307 epoch_Time:143.0min:
Epoch:[1/1](12400/44160) loss:2.745 lr:0.000458873125 epoch_Time:142.0min:
Epoch:[1/1](12500/44160) loss:2.260 lr:0.000457495902 epoch_Time:141.0min:
Epoch:[1/1](12600/44160) loss:2.879 lr:0.000456110708 epoch_Time:140.0min:
Epoch:[1/1](12700/44160) loss:2.495 lr:0.000454717613 epoch_Time:141.0min:
Epoch:[1/1](12800/44160) loss:2.386 lr:0.000453316688 epoch_Time:140.0min:
Epoch:[1/1](12900/44160) loss:2.436 lr:0.000451908003 epoch_Time:139.0min:
Epoch:[1/1](13000/44160) loss:2.138 lr:0.000450491630 epoch_Time:139.0min:
Epoch:[1/1](13100/44160) loss:2.530 lr:0.000449067641 epoch_Time:139.0min:
Epoch:[1/1](13200/44160) loss:2.130 lr:0.000447636108 epoch_Time:138.0min:
Epoch:[1/1](13300/44160) loss:2.727 lr:0.000446197102 epoch_Time:137.0min:
Epoch:[1/1](13400/44160) loss:2.145 lr:0.000444750698 epoch_Time:137.0min:
Epoch:[1/1](13500/44160) loss:2.856 lr:0.000443296967 epoch_Time:136.0min:
Epoch:[1/1](13600/44160) loss:2.354 lr:0.000441835985 epoch_Time:136.0min:
Epoch:[1/1](13700/44160) loss:2.102 lr:0.000440367823 epoch_Time:135.0min:
Epoch:[1/1](13800/44160) loss:2.678 lr:0.000438892558 epoch_Time:135.0min:
Epoch:[1/1](13900/44160) loss:2.864 lr:0.000437410264 epoch_Time:135.0min:
Epoch:[1/1](14000/44160) loss:2.639 lr:0.000435921015 epoch_Time:134.0min:
Epoch:[1/1](14100/44160) loss:2.475 lr:0.000434424887 epoch_Time:134.0min:
Epoch:[1/1](14200/44160) loss:2.331 lr:0.000432921955 epoch_Time:133.0min:
Epoch:[1/1](14300/44160) loss:2.413 lr:0.000431412297 epoch_Time:134.0min:
Epoch:[1/1](14400/44160) loss:1.388 lr:0.000429895988 epoch_Time:133.0min:
Epoch:[1/1](14500/44160) loss:2.582 lr:0.000428373104 epoch_Time:133.0min:
Epoch:[1/1](14600/44160) loss:2.338 lr:0.000426843724 epoch_Time:132.0min:
Epoch:[1/1](14700/44160) loss:2.174 lr:0.000425307924 epoch_Time:132.0min:
Epoch:[1/1](14800/44160) loss:2.557 lr:0.000423765782 epoch_Time:131.0min:
Epoch:[1/1](14900/44160) loss:2.124 lr:0.000422217376 epoch_Time:131.0min:
Epoch:[1/1](15000/44160) loss:3.453 lr:0.000420662785 epoch_Time:131.0min:
Epoch:[1/1](15100/44160) loss:2.305 lr:0.000419102086 epoch_Time:130.0min:
Epoch:[1/1](15200/44160) loss:2.396 lr:0.000417535361 epoch_Time:130.0min:
Epoch:[1/1](15300/44160) loss:2.608 lr:0.000415962686 epoch_Time:129.0min:
Epoch:[1/1](15400/44160) loss:2.321 lr:0.000414384143 epoch_Time:129.0min:
Epoch:[1/1](15500/44160) loss:2.166 lr:0.000412799811 epoch_Time:128.0min:
Epoch:[1/1](15600/44160) loss:2.463 lr:0.000411209769 epoch_Time:128.0min:
Epoch:[1/1](15700/44160) loss:2.195 lr:0.000409614100 epoch_Time:127.0min:
Epoch:[1/1](15800/44160) loss:2.317 lr:0.000408012883 epoch_Time:127.0min:
Epoch:[1/1](15900/44160) loss:2.386 lr:0.000406406199 epoch_Time:126.0min:
Epoch:[1/1](16000/44160) loss:2.937 lr:0.000404794130 epoch_Time:125.0min:
Epoch:[1/1](16100/44160) loss:3.669 lr:0.000403176757 epoch_Time:125.0min:
Epoch:[1/1](16200/44160) loss:2.345 lr:0.000401554163 epoch_Time:124.0min:
Epoch:[1/1](16300/44160) loss:2.466 lr:0.000399926429 epoch_Time:124.0min:
Epoch:[1/1](16400/44160) loss:2.555 lr:0.000398293637 epoch_Time:124.0min:
Epoch:[1/1](16500/44160) loss:2.214 lr:0.000396655871 epoch_Time:123.0min:
Epoch:[1/1](16600/44160) loss:2.638 lr:0.000395013213 epoch_Time:122.0min:
Epoch:[1/1](16700/44160) loss:2.258 lr:0.000393365747 epoch_Time:122.0min:
Epoch:[1/1](16800/44160) loss:2.442 lr:0.000391713555 epoch_Time:122.0min:
Epoch:[1/1](16900/44160) loss:2.541 lr:0.000390056721 epoch_Time:121.0min:
Epoch:[1/1](17000/44160) loss:2.341 lr:0.000388395330 epoch_Time:121.0min:
Epoch:[1/1](17100/44160) loss:3.867 lr:0.000386729465 epoch_Time:120.0min:
Epoch:[1/1](17200/44160) loss:2.106 lr:0.000385059210 epoch_Time:120.0min:
Epoch:[1/1](17300/44160) loss:2.566 lr:0.000383384651 epoch_Time:119.0min:
Epoch:[1/1](17400/44160) loss:2.159 lr:0.000381705871 epoch_Time:119.0min:
Epoch:[1/1](17500/44160) loss:2.630 lr:0.000380022957 epoch_Time:118.0min:
Epoch:[1/1](17600/44160) loss:2.954 lr:0.000378335992 epoch_Time:118.0min:
Epoch:[1/1](17700/44160) loss:2.264 lr:0.000376645063 epoch_Time:118.0min:
Epoch:[1/1](17800/44160) loss:2.104 lr:0.000374950254 epoch_Time:117.0min:
Epoch:[1/1](17900/44160) loss:2.450 lr:0.000373251653 epoch_Time:117.0min:
Epoch:[1/1](18000/44160) loss:2.252 lr:0.000371549344 epoch_Time:116.0min:
Epoch:[1/1](18100/44160) loss:2.280 lr:0.000369843414 epoch_Time:116.0min:
Epoch:[1/1](18200/44160) loss:4.011 lr:0.000368133949 epoch_Time:115.0min:
Epoch:[1/1](18300/44160) loss:2.063 lr:0.000366421036 epoch_Time:115.0min:
Epoch:[1/1](18400/44160) loss:2.562 lr:0.000364704761 epoch_Time:114.0min:
Epoch:[1/1](18500/44160) loss:3.558 lr:0.000362985212 epoch_Time:114.0min:
Epoch:[1/1](18600/44160) loss:2.472 lr:0.000361262475 epoch_Time:114.0min:
Epoch:[1/1](18700/44160) loss:2.460 lr:0.000359536637 epoch_Time:113.0min:
Epoch:[1/1](18800/44160) loss:2.495 lr:0.000357807786 epoch_Time:113.0min:
Epoch:[1/1](18900/44160) loss:2.868 lr:0.000356076010 epoch_Time:112.0min:
Epoch:[1/1](19000/44160) loss:2.276 lr:0.000354341395 epoch_Time:112.0min:
